,Title,City,Price(Rs),Tax+Charges(Rs),Total Price/night(Rs),Rating,Review,No of Reviews,Distance from Centre(km)
0,Great Spacious Villa with Courtyard Gardens,Hyderabad,10800,1944,12744,7.1,Good ,127,3.7
1,3BHK Budget Apartment in Hyderabad Near Charminar,Hyderabad,4800,576,5376,9.9,Exceptional ,9,7.3
2,KPHB Phase 15 New Stunning 15 BHKs Full Building with Terrace & Parking,Hyderabad,4898,588,5486,8.2,Very good ,238,7.2
3,Hotel Lake View Airport zone,Hyderabad,1596,192,1788,9,Superb ,32,18.3
4,Hyderabad Budget Apartment - 2BHK & 1BHK,Hyderabad,3999,480,4479,8,Very good ,17,4.5
5,FabHotel Rooms 27,Hyderabad,1617,194,1811,8.9,Fabulous ,15,6.5
6,VOILA AT NEST,Hyderabad,1800,216,2016,7.5,Good ,638,11.4
7,"Casa Hotel & Suites, Gachibowli, Hyderabad",Hyderabad,10400,1872,12272,7,Good ,1043,11.6
8,Hotel Axis Holiday's - Banjara Hills,Hyderabad,1488,178,1666,8.4,Very good ,634,1.7
9,Bridge Serviced Apartment in Banjara Hills,Hyderabad,15000,2700,17700,8.8,Fabulous ,23,1.8
10,HOTEL PLAZA ROOMS,Hyderabad,1412,169,1581,8,Very good ,32,3.4
11,The Golkonda Hotel,Hyderabad,6790,815,7605,8.2,Very good ,1146,2.1
12,Novotel Hyderabad Airport,Hyderabad,13949,2511,16460,8.6,Fabulous ,878,19.4
13,The Westin Hyderabad Mindspace,Hyderabad,11500,2070,13570,7.6,Good ,1071,6.7
14,Western Suites HiTech City,Hyderabad,4176,501,4677,6.8,Good ,168,6.3
15,Olive Service Apartments Hitech City,Hyderabad,4390,527,4917,8.1,Very good ,1133,6.4
16,Taj Krishna,Hyderabad,9500,1710,11210,7.9,Good ,1299,1.2
17,Courtyard by Marriott Hyderabad,Hyderabad,8750,1575,10325,7.3,Good ,496,5.3
18,FabHotel Royal Residency Lakdikapul,Hyderabad,1876,225,2101,8.4,Very good ,703,3
19,"Itsy By Treebo - Arastu Plaza - 9 Km Away From Rajiv Gandhi International Cricket Stadium, Hyderabad",Hyderabad,1774,213,1987,8.1,Very good ,1434,4
20,Taj Deccan,Hyderabad,10490,1888,12378,8.6,Fabulous ,683,1.3
21,Hyatt Place Hyderabad Banjara Hills,Hyderabad,10999,1980,12979,8.8,Fabulous ,468,1
22,Best Western Ashoka,Hyderabad,4680,562,5242,9,Superb ,5,3.2
23,Hyderabad Marriott Hotel & Convention Centre,Hyderabad,9000,1620,10620,7.6,Good ,223,5.3
24,"ITC Kohenur, a Luxury Collection Hotel, Hyderabad",Hyderabad,12350,2223,14573,7.3,Good ,314,5.9
25,Oakwood Residence Kapil Hyderabad,Hyderabad,7250,870,8120,8.6,Fabulous ,670,10.6
26,FabExpress Broholic Suites,Hyderabad,1456,175,1631,9.1,Superb ,1427,9.5
27,FabHotel Mint Park,Hyderabad,1848,222,2070,8.2,Very good ,516,71.6
28,New Hotel Suhail,Hyderabad,2321,279,2600,7.5,Good ,6,5.3
29,FabHotel Mansingh Begum Bazar Road,Hyderabad,2273,273,2546,8.2,Very good ,457,5.7
30,Sheraton Hyderabad Hotel,Hyderabad,10000,1800,11800,8.5,Very good ,490,10.7
31,Trident Hyderabad,Hyderabad,12250,2205,14455,7.1,Good ,192,7.3
32,FabHotel Pride Inn,Hyderabad,2159,259,2418,7.5,Good ,60,6.7
33,Collection O Hotel Golden Gate,Hyderabad,1362,197,1559,8.3,Very good ,338,4.7
34,FabHotel Mallikarjun Residency,Hyderabad,1477,177,1654,7.7,Good ,974,5.2
35,Treebo Trend Blue Dawn Gachibowli,Hyderabad,2183,262,2445,8.9,Fabulous ,14,9.5
36,The Purple Leaf Hotels,Hyderabad,3200,384,3584,8.4,Very good ,24,8.1
37,La Hometel Hotel - HITECH City Hyderabad,Hyderabad,2309,277,2586,7.1,Good ,133,7.1
38,Marriott Executive Apartments Hyderabad,Hyderabad,10500,1890,12390,7.8,Good ,859,8.9
39,Hyatt Hyderabad Gachibowli,Hyderabad,8550,1539,10089,7.6,Good ,49,10.2
40,Treebo Trend The Rise,Hyderabad,3043,365,3408,6.9,Good ,201,6.2
41,Harvey's Hotels (Gachibowli),Hyderabad,3800,456,4256,8.3,Very good ,190,11.6
42,"Treebo Tryst Metropolis - 6 Km Away From Rajiv Gandhi International Cricket Stadium, Hyderabad",Hyderabad,3507,421,3928,7.4,Good ,39,7
43,"Mercure Hyderabad KCP Banjara Hills, An Accor Hotel",Hyderabad,10000,1800,11800,7.8,Good ,294,2
44,Bloom Hotel - Cyber Towers,Hyderabad,13000,2340,15340,7.2,Good ,1753,8.1
45,Itsy By Treebo - 99 Inn Hitech City,Hyderabad,2194,263,2457,6.8,Good ,123,7.5
46,Super OYO Townhouse RCC Majestic 397 LB Nagar,Hyderabad,1943,259,2202,7.6,Good ,39,12.2
47,Super OYO Collection O Halcyon Madhapur,Hyderabad,2120,271,2391,8.5,Very good ,212,6.3
48,Hotel Akoya - HITECH City Hyderabad,Hyderabad,4905,589,5494,5.9,Good ,24,6.8
49,ibis Hyderabad Hitec City - An Accor Brand,Hyderabad,6999,840,7839,8.2,Very good ,42,7.2
50,FabHotel Aamantran,Hyderabad,2217,266,2483,8.1,Very good ,918,6.3
51,FabHotel W Grand Suites,Hyderabad,1364,164,1528,7.4,Good ,183,6.6
52,FabExpress Broholic Suites I,Hyderabad,1835,220,2055,6.5,Good ,17,12.8
53,EKASILA GRAND HOTEL,Hyderabad,1458,175,1633,7.9,Good ,2692,13.4
54,Treebo Trend Virat Residency,Hyderabad,2712,325,3037,7.2,Good ,27,12
55,Le Meridien Hyderabad,Hyderabad,12000,2160,14160,7.6,Good ,709,8.7
56,Avana- A Boutique Hotel,Hyderabad,4050,486,4536,7.9,Good ,996,11.6
57,FabHotel Double Tree,Hyderabad,2563,308,2871,8.5,Very good ,132,18.1
58,Radisson Blu Plaza Hotel Hyderabad Banjara Hills,Hyderabad,15000,2700,17700,8.3,Very good ,4,0.7
59,OYO Townhouse 196 De Alphabet,Hyderabad,1342,178,1520,6.9,Good ,17,3.4
60,Nectar Living - Iris,Hyderabad,1800,216,2016,7.8,Good ,89,6.9
61,"ITC Kakatiya, a Luxury Collection Hotel, Hyderabad",Hyderabad,13490,2428,15918,7.2,Good ,30,2.7
62,Treebo Trend Address Inn,Hyderabad,3541,425,3966,7.2,Good ,68,1.3
63,FabHotel Golden Hitech,Hyderabad,1932,232,2164,7.5,Good ,35,6.5
64,FabExpress Kpotel,Hyderabad,1782,214,1996,7.5,Good ,82,6.1
65,FabExpress Airport Stay Inn,Hyderabad,1242,149,1391,7.5,Good ,29,1.9
66,FabExpress Golden Gate,Hyderabad,1818,218,2036,7.6,Good ,206,6.5
67,FabHotel Fortune Grand,Hyderabad,2273,273,2546,7.1,Good ,144,2.8
68,INR Suites Madhapur,Hyderabad,2849,342,3191,5.7,Good ,20,6.4
69,Treebo Trend Royal Signature,Hyderabad,3791,455,4246,6.8,Good ,213,6.9
70,Treebo Trend J A Royal Suites Manikonda,Hyderabad,2575,309,2884,8,Very good ,5,6.6
71,Treebo Trend Kruthika Inn,Hyderabad,3174,381,3555,7.5,Good ,209,9.5
72,Dash Hotels - Affordable Luxury,Hyderabad,3360,403,3763,8.4,Very good ,1926,5.9
73,FabHotel A&M,Hyderabad,2739,329,3068,7,Good ,120,1.1
74,Capital O Hotel Saharsh Grand Near Shilparamam,Hyderabad,1636,230,1866,7.1,Good ,362,8.9
75,Bloom Hotel - HITEC City,Hyderabad,6074,729,6803,6.6,Good ,524,6.8
76,Treebo Trend Navya The Park,Hyderabad,2528,303,2831,8.8,Fabulous ,6,6.9
77,The Landmark Banjara Hills - Hyderabad,Hyderabad,2400,288,2688,6.3,Good ,55,0.7
78,"Vivanta Hyderabad, Begumpet",Hyderabad,10500,1890,12390,7.3,Good ,46,3.8
79,Itsy By Treebo - Infinity Hitech City,Hyderabad,2651,318,2969,4.2,Good ,436,7.6
80,FabExpress Deccan Heritage Abids,Hyderabad,2446,294,2740,7.7,Good ,246,5.3
81,M Square Hotel,Hyderabad,2295,275,2570,5.3,Good ,46,8.1
82,FabHotel Prime AM Suites,Hyderabad,4207,505,4712,6.9,Good ,36,6.2
83,FabHotel L Grand,Hyderabad,1901,228,2129,6.9,Good ,120,7
84,FabHotel Green Leaf,Hyderabad,1818,60,1878,6.9,Good ,133,10.3
85,The Manohar Hyderabad,Hyderabad,4320,518,4838,2.8,Good ,21,4.8
86,"Hotel Deccan Serai, HITEC CITY, HYDERABAD",Hyderabad,3919,470,4389,7.7,Good ,60,6.6
